id,PUMA10,ST,NP,TYPE,TEN,HHT,HUPAOC,HUPARC,MULTG,NR,PARTNER,HHAGE,HHSEX,HHRACE,HHHISP,NPU18withEXC,PP_0-5,PP_6-17,PP_60-64,PP_65-74,PP_75,PP_0-5_withEXC,PP_6-17_withEXC
30017394,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017395,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017396,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017397,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017398,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017399,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017400,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017401,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017402,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017403,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017404,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017405,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017406,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017407,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017408,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
30017409,12702,12,02,1,3,1,4,4,1,0,0,4,1,6,1,0,0,0,0,0,0,0,0
